城市,周期,AQI均值
七台河市,周期1(9-15日),77.57 
七台河市,周期2(16-22日),54.86 
三亚市,周期1(9-15日),54.00 
三亚市,周期2(16-22日),44.86 
三明市,周期1(9-15日),75.43 
三明市,周期2(16-22日),53.71 
三门峡市,周期1(9-15日),144.14 
三门峡市,周期2(16-22日),109.43 
上海市,周期1(9-15日),89.43 
上海市,周期2(16-22日),81.43 
上饶市,周期1(9-15日),91.71 
上饶市,周期2(16-22日),51.14 
东莞市,周期1(9-15日),107.43 
东莞市,周期2(16-22日),55.14 
东营市,周期1(9-15日),91.71 
东营市,周期2(16-22日),78.00 
中卫市,周期1(9-15日),214.00 
中卫市,周期2(16-22日),208.86 
中山市,周期1(9-15日),96.00 
中山市,周期2(16-22日),42.86 
临夏回族自治州,周期1(9-15日),98.43 
临夏回族自治州,周期2(16-22日),149.57 
临汾市,周期1(9-15日),122.43 
临汾市,周期2(16-22日),119.86 
临沂市,周期1(9-15日),84.57 
临沂市,周期2(16-22日),84.43 
临沧市,周期1(9-15日),60.86 
临沧市,周期2(16-22日),57.14 
丹东市,周期1(9-15日),55.57 
丹东市,周期2(16-22日),58.14 
丽水市,周期1(9-15日),82.57 
丽水市,周期2(16-22日),59.14 
丽江市,周期1(9-15日),58.43 
丽江市,周期2(16-22日),55.29 
乌兰察布市,周期1(9-15日),58.29 
乌兰察布市,周期2(16-22日),73.57 
乌海市,周期1(9-15日),136.71 
乌海市,周期2(16-22日),162.43 
乌鲁木齐市,周期1(9-15日),72.57 
乌鲁木齐市,周期2(16-22日),55.43 
乐山市,周期1(9-15日),108.57 
乐山市,周期2(16-22日),98.57 
九江市,周期1(9-15日),109.43 
九江市,周期2(16-22日),63.71 
云浮市,周期1(9-15日),93.14 
云浮市,周期2(16-22日),53.57 
五家渠市,周期1(9-15日),81.00 
五家渠市,周期2(16-22日),54.14 
亳州市,周期1(9-15日),120.29 
亳州市,周期2(16-22日),82.14 
伊春市,周期1(9-15日),58.71 
伊春市,周期2(16-22日),52.71 
伊犁哈萨克自治州,周期1(9-15日),69.29 
伊犁哈萨克自治州,周期2(16-22日),51.29 
佛山市,周期1(9-15日),109.00 
佛山市,周期2(16-22日),55.86 
佳木斯市,周期1(9-15日),68.57 
佳木斯市,周期2(16-22日),65.71 
保定市,周期1(9-15日),85.57 
保定市,周期2(16-22日),82.71 
保山市,周期1(9-15日),62.00 
保山市,周期2(16-22日),57.86 
信阳市,周期1(9-15日),98.71 
信阳市,周期2(16-22日),88.14 
儋州市,周期1(9-15日),85.00 
儋州市,周期2(16-22日),59.00 
克孜勒苏柯尔克孜自治州,周期1(9-15日),242.14 
克孜勒苏柯尔克孜自治州,周期2(16-22日),276.86 
克拉玛依市,周期1(9-15日),58.00 
克拉玛依市,周期2(16-22日),49.29 
六安市,周期1(9-15日),94.71 
六安市,周期2(16-22日),83.29 
六盘水市,周期1(9-15日),93.00 
六盘水市,周期2(16-22日),74.29 
兰州市,周期1(9-15日),170.29 
兰州市,周期2(16-22日),144.57 
兴安盟,周期1(9-15日),59.43 
兴安盟,周期2(16-22日),56.71 
内江市,周期1(9-15日),119.29 
内江市,周期2(16-22日),91.43 
凉山彝族自治州,周期1(9-15日),63.00 
凉山彝族自治州,周期2(16-22日),64.86 
包头市,周期1(9-15日),84.00 
包头市,周期2(16-22日),74.00 
北京市,周期1(9-15日),71.86 
北京市,周期2(16-22日),67.86 
北海市,周期1(9-15日),100.43 
北海市,周期2(16-22日),60.86 
十堰市,周期1(9-15日),97.14 
十堰市,周期2(16-22日),81.57 
南京市,周期1(9-15日),99.29 
南京市,周期2(16-22日),87.14 
南充市,周期1(9-15日),187.86 
南充市,周期2(16-22日),83.29 
南宁市,周期1(9-15日),83.86 
南宁市,周期2(16-22日),69.71 
南平市,周期1(9-15日),67.14 
南平市,周期2(16-22日),53.86 
南昌市,周期1(9-15日),121.14 
南昌市,周期2(16-22日),61.00 
南通市,周期1(9-15日),88.71 
南通市,周期2(16-22日),82.71 
南阳市,周期1(9-15日),126.43 
南阳市,周期2(16-22日),80.57 
博尔塔拉蒙古自治州,周期1(9-15日),80.57 
博尔塔拉蒙古自治州,周期2(16-22日),55.71 
厦门市,周期1(9-15日),75.00 
厦门市,周期2(16-22日),54.43 
双鸭山市,周期1(9-15日),80.43 
双鸭山市,周期2(16-22日),57.57 
台州市,周期1(9-15日),87.29 
台州市,周期2(16-22日),71.29 
合肥市,周期1(9-15日),88.43 
合肥市,周期2(16-22日),88.00 
吉安市,周期1(9-15日),96.43 
吉安市,周期2(16-22日),56.00 
吉林市,周期1(9-15日),68.57 
吉林市,周期2(16-22日),70.14 
吐鲁番市,周期1(9-15日),90.57 
吐鲁番市,周期2(16-22日),150.57 
吕梁市,周期1(9-15日),113.29 
吕梁市,周期2(16-22日),106.00 
吴忠市,周期1(9-15日),154.71 
吴忠市,周期2(16-22日),134.29 
周口市,周期1(9-15日),129.29 
周口市,周期2(16-22日),76.71 
呼伦贝尔市,周期1(9-15日),51.57 
呼伦贝尔市,周期2(16-22日),46.57 
呼和浩特市,周期1(9-15日),64.00 
呼和浩特市,周期2(16-22日),69.00 
和田地区,周期1(9-15日),405.43 
和田地区,周期2(16-22日),382.29 
咸宁市,周期1(9-15日),114.29 
咸宁市,周期2(16-22日),67.71 
咸阳市,周期1(9-15日),170.57 
咸阳市,周期2(16-22日),116.29 
哈密市,周期1(9-15日),86.86 
哈密市,周期2(16-22日),54.14 
哈尔滨市,周期1(9-15日),110.57 
哈尔滨市,周期2(16-22日),78.29 
唐山市,周期1(9-15日),82.71 
唐山市,周期2(16-22日),71.43 
商丘市,周期1(9-15日),117.71 
商丘市,周期2(16-22日),77.43 
商洛市,周期1(9-15日),135.29 
商洛市,周期2(16-22日),96.86 
喀什地区,周期1(9-15日),240.14 
喀什地区,周期2(16-22日),216.57 
嘉兴市,周期1(9-15日),107.86 
嘉兴市,周期2(16-22日),85.71 
嘉峪关市,周期1(9-15日),74.14 
嘉峪关市,周期2(16-22日),84.00 
四平市,周期1(9-15日),62.71 
四平市,周期2(16-22日),63.00 
固原市,周期1(9-15日),200.00 
固原市,周期2(16-22日),132.57 
塔城地区,周期1(9-15日),56.86 
塔城地区,周期2(16-22日),48.14 
大兴安岭地区,周期1(9-15日),43.86 
大兴安岭地区,周期2(16-22日),43.71 
大同市,周期1(9-15日),68.00 
大同市,周期2(16-22日),87.57 
大庆市,周期1(9-15日),72.00 
大庆市,周期2(16-22日),48.71 
大理白族自治州,周期1(9-15日),60.29 
大理白族自治州,周期2(16-22日),63.14 
大连市,周期1(9-15日),48.43 
大连市,周期2(16-22日),60.71 
天水市,周期1(9-15日),164.86 
天水市,周期2(16-22日),106.71 
天津市,周期1(9-15日),82.14 
天津市,周期2(16-22日),75.14 
太原市,周期1(9-15日),92.86 
太原市,周期2(16-22日),99.43 
威海市,周期1(9-15日),63.14 
威海市,周期2(16-22日),67.29 
娄底市,周期1(9-15日),140.00 
娄底市,周期2(16-22日),61.57 
孝感市,周期1(9-15日),127.43 
