日期,城市,空气指标,PM25
17日,北京市,62,35
18日,北京市,36,10
19日,北京市,53,26
20日,北京市,95,45
21日,北京市,74,54
22日,北京市,56,8
09日,北京市,54,27
10日,北京市,80,45
11日,北京市,105,65
12日,北京市,84,17
13日,北京市,68,19
14日,北京市,55,27
15日,北京市,57,26
16日,北京市,99,62
10日,天津市,91,52
11日,天津市,93,67
12日,天津市,123,29
13日,天津市,75,21
14日,天津市,69,20
15日,天津市,65,28
16日,天津市,89,66
09日,天津市,59,33
17日,天津市,80,47
18日,天津市,54,29
19日,天津市,55,36
20日,天津市,98,47
21日,天津市,98,73
22日,天津市,52,23
09日,石家庄市,78,50
17日,石家庄市,136,76
18日,石家庄市,68,38
19日,石家庄市,60,35
20日,石家庄市,103,63
21日,石家庄市,73,53
22日,石家庄市,65,26
10日,石家庄市,72,40
11日,石家庄市,189,69
12日,石家庄市,110,31
13日,石家庄市,55,18
14日,石家庄市,64,16
15日,石家庄市,70,21
16日,石家庄市,119,55
09日,秦皇岛市,65,22
10日,秦皇岛市,109,46
11日,秦皇岛市,69,39
12日,秦皇岛市,91,24
13日,秦皇岛市,41,10
14日,秦皇岛市,52,14
15日,秦皇岛市,54,30
16日,秦皇岛市,78,40
17日,秦皇岛市,94,46
18日,秦皇岛市,40,18
19日,秦皇岛市,48,25
20日,秦皇岛市,71,39
21日,秦皇岛市,63,33
22日,秦皇岛市,54,21
09日,邯郸市,90,52
10日,邯郸市,79,49
11日,邯郸市,96,52
12日,邯郸市,183,55
13日,邯郸市,62,14
14日,邯郸市,62,13
15日,邯郸市,64,22
16日,邯郸市,119,64
17日,邯郸市,171,96
18日,邯郸市,79,34
19日,邯郸市,54,25
20日,邯郸市,89,41
21日,邯郸市,60,34
22日,邯郸市,54,23
10日,邢台市,72,41
11日,邢台市,126,64
12日,邢台市,172,58
13日,邢台市,66,21
17日,邢台市,178,101
18日,邢台市,71,34
19日,邢台市,57,30
20日,邢台市,103,54
21日,邢台市,62,40
22日,邢台市,65,26
09日,邢台市,80,52
14日,邢台市,70,11
15日,邢台市,60,22
16日,邢台市,118,55
09日,保定市,61,32
17日,保定市,107,66
18日,保定市,60,35
19日,保定市,64,36
20日,保定市,107,54
21日,保定市,83,61
22日,保定市,61,23
10日,保定市,81,43
11日,保定市,172,81
12日,保定市,97,27
13日,保定市,58,17
14日,保定市,67,17
15日,保定市,63,28
16日,保定市,97,52
17日,承德市,56,28
18日,承德市,38,10
19日,承德市,53,10
20日,承德市,85,20
21日,承德市,51,30
22日,承德市,48,14
10日,承德市,79,22
11日,承德市,101,46
12日,承德市,86,16
13日,承德市,50,8
14日,承德市,62,17
15日,承德市,54,25
16日,承德市,88,27
09日,承德市,61,21
17日,衡水市,108,67
18日,衡水市,58,27
19日,衡水市,60,26
09日,衡水市,80,47
10日,衡水市,110,50
11日,衡水市,121,71
12日,衡水市,164,46
13日,衡水市,56,15
14日,衡水市,77,17
15日,衡水市,74,25
16日,衡水市,95,49
20日,衡水市,113,43
21日,衡水市,60,39
22日,衡水市,59,33
17日,张家口市,64,25
18日,张家口市,41,10
19日,张家口市,56,12
20日,张家口市,93,29
21日,张家口市,85,38
22日,张家口市,57,11
09日,张家口市,51,18
10日,张家口市,59,19
11日,张家口市,90,27
12日,张家口市,55,14
13日,张家口市,56,16
14日,张家口市,48,20
15日,张家口市,61,15
16日,张家口市,81,35
09日,廊坊市,55,25
17日,廊坊市,71,42
18日,廊坊市,60,41
19日,廊坊市,60,36
20日,廊坊市,107,49
21日,廊坊市,95,71
22日,廊坊市,57,13
10日,廊坊市,89,64
11日,廊坊市,130,79
12日,廊坊市,122,31
13日,廊坊市,70,20
14日,廊坊市,60,18
15日,廊坊市,64,24
16日,廊坊市,90,67
09日,唐山市,59,31
17日,唐山市,94,52
18日,唐山市,54,34
19日,唐山市,50,33
20日,唐山市,77,49
21日,唐山市,85,63
22日,唐山市,60,27
10日,唐山市,93,56
11日,唐山市,99,55
12日,唐山市,137,26
13日,唐山市,63,11
14日,唐山市,62,12
15日,唐山市,66,36
16日,唐山市,80,59
09日,沧州市,78,38
10日,沧州市,83,51
11日,沧州市,101,65
12日,沧州市,171,50
13日,沧州市,64,18
14日,沧州市,78,24
15日,沧州市,69,26
17日,沧州市,94,55
18日,沧州市,59,28
19日,沧州市,59,30
20日,沧州市,108,46
21日,沧州市,70,51
22日,沧州市,65,40
16日,沧州市,83,51
17日,太原市,168,108
18日,太原市,82,52
19日,太原市,82,60
20日,太原市,98,50
21日,太原市,72,46
22日,太原市,66,24
09日,太原市,66,34
10日,太原市,69,27
11日,太原市,206,74
12日,太原市,114,28
13日,太原市,59,15
14日,太原市,53,12
15日,太原市,83,28
16日,太原市,128,72
17日,大同市,186,56
18日,大同市,37,17
19日,大同市,60,24
20日,大同市,84,38
21日,大同市,58,28
22日,大同市,55,17
09日,大同市,49,33
10日,大同市,53,25
11日,大同市,181,50
12日,大同市,42,10
13日,大同市,44,10
14日,大同市,49,9
15日,大同市,58,21
16日,大同市,133,58
17日,阳泉市,195,106
18日,阳泉市,68,43
19日,阳泉市,78,39
20日,阳泉市,105,70
21日,阳泉市,72,46
22日,阳泉市,58,15
09日,阳泉市,71,41
10日,阳泉市,66,24
11日,阳泉市,194,63
12日,阳泉市,105,26
13日,阳泉市,59,14
14日,阳泉市,56,12
15日,阳泉市,77,21
16日,阳泉市,132,57
17日,长治市,115,74
18日,长治市,93,57
19日,长治市,86,58
20日,长治市,89,26
21日,长治市,80,39
22日,长治市,67,24
10日,长治市,67,24
11日,长治市,88,45
12日,长治市,170,53
13日,长治市,65,17
14日,长治市,60,10
15日,长治市,74,19
16日,长治市,111,64
09日,长治市,61,34
09日,晋城市,83,43
17日,晋城市,129,73
18日,晋城市,102,53
19日,晋城市,90,45
20日,晋城市,109,30
21日,晋城市,81,25
22日,晋城市,92,33
10日,晋城市,80,22
11日,晋城市,105,43
12日,晋城市,363,86
13日,晋城市,98,32
14日,晋城市,59,10
15日,晋城市,85,13
16日,晋城市,118,65
09日,朔州市,62,33
17日,朔州市,186,77
18日,朔州市,39,21
19日,朔州市,66,29
20日,朔州市,95,46
21日,朔州市,63,27
22日,朔州市,57,16
10日,朔州市,51,18
11日,朔州市,198,50
12日,朔州市,65,10
13日,朔州市,43,8
14日,朔州市,51,9
15日,朔州市,64,17
16日,朔州市,166,68
10日,晋中市,72,20
11日,晋中市,405,66
12日,晋中市,117,22
13日,晋中市,59,12
14日,晋中市,55,7
15日,晋中市,86,15
16日,晋中市,145,54
17日,晋中市,180,86
18日,晋中市,88,37
19日,晋中市,77,42
20日,晋中市,98,42
21日,晋中市,74,42
22日,晋中市,64,17
09日,晋中市,67,28
09日,运城市,98,44
17日,运城市,131,61
18日,运城市,104,42
19日,运城市,82,43
20日,运城市,105,33
21日,运城市,69,36
22日,运城市,161,69
10日,运城市,78,25
11日,运城市,226,61
12日,运城市,485,95
13日,运城市,153,45
14日,运城市,70,18
15日,运城市,84,31
16日,运城市,101,54
09日,忻州市,63,45
10日,忻州市,60,28
11日,忻州市,194,60
12日,忻州市,70,17
13日,忻州市,53,13
14日,忻州市,53,12
15日,忻州市,73,21
16日,忻州市,153,61
17日,忻州市,175,86
18日,忻州市,61,35
19日,忻州市,67,48
20日,忻州市,88,60
21日,忻州市,67,45
22日,忻州市,58,16
17日,临汾市,138,70
18日,临汾市,116,54
19日,临汾市,90,52
20日,临汾市,98,33
21日,临汾市,109,49
22日,临汾市,170,68
10日,临汾市,70,20
11日,临汾市,273,64
12日,临汾市,197,43
13日,临汾市,114,25
14日,临汾市,55,12
15日,临汾市,75,22
16日,临汾市,118,58
09日,临汾市,73,35
17日,吕梁市,171,83
18日,吕梁市,100,55
19日,吕梁市,68,37
20日,吕梁市,90,32
21日,吕梁市,105,50
22日,吕梁市,87,32
09日,吕梁市,63,22
10日,吕梁市,60,17
