排名,歌手,歌曲,时长
1,LBI利比（时柏尘）,跳楼机,3:21
2,马健涛,搀扶,5:27
3,G.E.M. 邓紫棋,唯一,4:13
4,方大同,特别的人,4:19
5,李秉成,只为你着迷,4:00
6,于冬然,座位,3:28
7,小璐,平凡日子里的挣扎,3:23
8,EXO,"Baby, Don't Cry (人鱼的眼泪)(Chinese Ver.)",3:55
9,Valentin,Unchanged Mind,5:07
10,王唯旖,舍得,4:22
11,唐汉霄,就是哪吒,3:51
12,李雨婷,烟火里的尘埃 (我的心里住着一个苍老的小孩),5:26
13,蔡健雅,越来越不懂,4:09
14,Muyoi、Pezzi,一点,3:20
15,郑润泽,瞬,4:44
16,大双二双,说书人 (说不完这人间沧桑),3:40
17,田园,先说爱的人为什么先离开,3:40
18,刘晓超,不能不想你,4:09
19,方大同,麦恩莉,4:48
20,马健涛,你本来就很美,3:07
21,王菲,世界赠予我的,4:04
22,卢润泽,土坡上的狗尾草,3:16
23,陶喆,爱我还是他,4:52
24,王力宏,爱错,3:58
25,郭静,下一个天亮,4:26
26,邓典,伤心剖半 (把你的心剖开来),2:51
27,孙燕姿,我怀念的,4:49
28,容祖儿,没关系,3:40
29,yihuik苡慧,有些,3:41
30,陈奕迅,孤独患者,4:33
31,邵甲天 ET、无面小生、口古口古、Happer,我爱你但是我要回家,3:14
32,诺爷Plus,就让冷风吹,3:27
33,方大同,爱爱爱,3:33
34,杨乃文,推开世界的门,4:42
35,方大同,Love Song,4:29
36,艾比利,一个人想着一个人 (说唱版),3:09
37,王睿卓,大山,3:39
38,马健涛,童年老家,5:42
39,杨丞琳,雨爱,4:20
40,陈瑞,情罪,4:45
41,魏玉慧,相思遥,3:13
42,汪苏泷,像晴天像雨天,3:56
43,音乐磁场,我记得你眼里的依恋,4:26
44,吕艳婷、瀚墨,我乃哪吒三太子,3:12
45,颜人中,有些 (Live),3:53
46,洋澜一,见一面少一面,4:05
47,诺爷Plus,归途的光,3:45
48,弹棉花的小花,再见青春 (释怀版),4:17
49,潘成（皮卡潘）,白鸽乌鸦相爱的戏码,2:53
50,Michita,Cry For Me (feat. Ami),5:02
51,小沈阳,说书人,4:15
52,方大树,我记得你眼里的依恋 (走在红尘俗世间),4:17
53,周宇,我可以很爱你也可以没有你,3:06
54,Max Oazo、Moonessa,Once Upon A Time (House Extended Mix),7:53
55,毛不易,无名的人,4:42
56,林俊杰,Always Online,3:45
57,林忆莲,至少还有你,4:34
58,李嘉嘉,陪我过个冬 (相思八千里)(节奏氛围版),2:26
59,云朵,我的楼兰,5:25
60,大叔很下饭,unchanged mind (未曾改变的心意),2:03
61,任夏,我给你最后的爱是不打扰,3:21
62,OneRepublic,Counting Stars,4:17
63,方大同,才二十三,3:44
64,于春洋,不谓侠 (向江南折过花),4:00
65,张芸京,偏爱,3:32
66,丁禹兮,消散对白,3:31
67,薛凯琪,苏州河,4:00
68,陈婉菁,不负众望,3:54
69,罗森涛,小孩,3:39
70,洋澜一,谁,3:39
71,陈奕迅,富士山下,4:19
72,杨不乖,终于成过客 (我们终于终于成为了过客),3:28
73,方大同,春风吹,3:20
74,王琪玮,雨爱 (架子鼓版),3:48
75,付豪,这辈子我们还能在一起吗,4:23
76,曾抖抖,平凡日子里的挣扎,3:23
77,广东吴勇,此生无憾,4:17
78,云南三怪,晚风 (走心版),3:49
79,田园,这些年在忙什么,3:41
80,周杰伦,晴天,4:29
81,G.E.M. 邓紫棋,红蔷薇白玫瑰,4:42
82,丁当,猜不透,3:53
83,金钰儿,此生无憾 (国语女生版),4:03
84,BY2,我知道,4:10
85,汪苏泷、单依纯,如果爱忘了 (Live),4:05
86,马健涛,我心所愿,3:15
87,方大同,红豆,3:56
88,李要红RedLi,Kiss Kiss Shy Shy (1.2X版),2:38
89,G.E.M. 邓紫棋,多远都要在一起,3:37
90,任夏,见与不见你都在我心里,3:18
91,ROSÉ、Bruno Mars,APT.,2:49
92,周公,不说,3:38
93,付俊乐,去远方,3:33
94,宝石Gem、一哩哩一,执子之手,3:11
95,聒噪的王海颖、孙圳翰,月亮翻过小山坡,3:03
96,蔡健雅,红色高跟鞋,3:26
97,罗文,黄昏,5:00
