书名,作者,出版社,出版时间,评分,评分人数,图书链接
忧郁的秩序：亚洲移民与边境管控的全球化,[美] 亚当·麦基翁,上海书店出版社,2025-2,9.0,25人评价,https://book.douban.com/subject/36878789/
巴黎评论·出版人访谈,美国《巴黎评论》编辑部(编),人民文学出版社,2025-3-15,8.3,15人评价,https://book.douban.com/subject/37212968/
玲珑塔,苏枕书,北京联合出版公司,2025-3,9.1,15人评价,https://book.douban.com/subject/37129110/
伊万·杰尼索维奇的一天,[俄罗斯] 亚历山大·索尔仁尼琴,译林出版社,2025-3-1,未评分,10人评价,https://book.douban.com/subject/37259826/
鲁迅与日本,潘世圣,生活·读书·新知三联书店,2025-4,未评分,1人评价,https://book.douban.com/subject/37036133/
再见了，木星,[日]小松左京,译林出版社,2025-3-1,未评分,3人评价,https://book.douban.com/subject/37124490/
众灵日,[荷兰] 塞斯·诺特博姆,译林出版社,2025-3,未评分,8人评价,https://book.douban.com/subject/37159343/
攀龙附凤：北宋潞州上党李氏外戚将门研究,何冠环,重庆出版社,2025-3,未评分,1人评价,https://book.douban.com/subject/37279672/
乔治·德·拉图尔,[法] 帕斯卡·基尼亚尔,南京大学出版社,2025-3,未评分,6人评价,https://book.douban.com/subject/37186592/
廉价：低薪工作如何使女性陷入贫困,[美] 阿曼达·弗里曼,中译出版社,2025-3-25,未评分,0人评价,https://book.douban.com/subject/36973920/
怪兽迷宫：罗伯特·谢克里科幻小说集 II,[美] 罗伯特·谢克里,新星出版社,2025-3,9.6,12人评价,https://book.douban.com/subject/37237566/
湖水永远不会甜,[意大利] 茱莉亚·卡米尼托,南海出版公司,2025-3,未评分,10人评价,https://book.douban.com/subject/37275077/
奥波波纳克斯,[法] 莫尼克·威蒂格,北京联合出版公司,2025-3,8.9,29人评价,https://book.douban.com/subject/37169308/
滚蛋吧！职场混蛋！：如何识别和应对“有毒”的同事,[美]泰莎·韦斯特,北京科学技术出版社,2025-2-1,7.9,29人评价,https://book.douban.com/subject/37209423/
田岛老师救了我！：为什么我们需要女性主义,[日] 田岛阳子,北京联合出版公司,2025-3,8.5,30人评价,https://book.douban.com/subject/37205544/
与哀伤共处：经历父母离世的年轻子女,李昀鋆,广东人民出版社,2025-3,8.4,108人评价,https://book.douban.com/subject/37209712/
黑童话,[美] 斯蒂芬·金,湖南文艺出版社,2025-3,8.3,79人评价,https://book.douban.com/subject/37116534/
老子化胡经校注,郜同麟 校注,中华书局,2025-2,未评分,13人评价,https://book.douban.com/subject/36778756/
元朝的兴亡：中国文明的历史[七],[日] 田村实造,民主与建设出版社,2025-2,8.4,27人评价,https://book.douban.com/subject/37076115/
看见不可见社会,于海,重庆出版社,2025-3,9.1,91人评价,https://book.douban.com/subject/37019391/
小说是什么：三岛由纪夫的创作论,[日] 三岛由纪夫,广西师范大学出版社,2025-3-20,未评分,30人评价,https://book.douban.com/subject/37212187/
地中海四千年,[英] 大卫·阿布拉菲亚,中国人民大学出版社,2025-3-1,8.7,45人评价,https://book.douban.com/subject/37055705/
幻想底尽头：穆旦传,易彬,上海文艺出版社,2025-2,9.5,16人评价,https://book.douban.com/subject/36919976/
恶意镇,[意] 萨奇亚·纳斯匹尼,花城出版社,2025-3-1,未评分,6人评价,https://book.douban.com/subject/36952729/
中国近代思想与学术的系谱：增订版,王汎森,上海三联书店,2025-3,未评分,3人评价,https://book.douban.com/subject/37238502/
第六号元素：从大气、钻石到生命，碳如何塑造了地球、社会和我们？,(美) 西奥多·P. 斯诺,中信出版社,2025-2,未评分,17人评价,https://book.douban.com/subject/37168405/
滑向战争：决定历史的交涉与日本的失败,[日] 加藤阳子,浙江人民出版社,2025-3,8.2,13人评价,https://book.douban.com/subject/37180567/
南太平洋的风：库克群岛生活笔记,胡子,人民文学出版社,2025-2,8.0,19人评价,https://book.douban.com/subject/37118765/
虫神山事件,时晨,新星出版社,2025-3,8.7,23人评价,https://book.douban.com/subject/37235058/
性别：女：随机图书馆01,随机波动,新星出版社,2025-4,未评分,17人评价,https://book.douban.com/subject/36862589/
星期五不上班,[英]威尔·斯特朗,上海文艺出版社,2025-3,8.2,47人评价,https://book.douban.com/subject/37154174/
进入全球公共视域的清帝国：欧洲文献里的中国邸报,[比] 钟鸣旦,上海人民出版社,2025-2,未评分,9人评价,https://book.douban.com/subject/37181070/
旅行人信札,陈嘉映,上海文艺出版社,2025-2,8.3,108人评价,https://book.douban.com/subject/34970100/
焦虑的一代：如何养育手机里泡大的孩子,[美]乔纳森·海特（Jonathan Haidt）,中国纺织出版社,2025-3-22,未评分,5人评价,https://book.douban.com/subject/37271557/
中国绘画：元至清,[美] 巫鸿,上海人民出版社,2025-3,9.3,37人评价,https://book.douban.com/subject/37156716/
初步举证,[澳] 苏茜·米勒,四川人民出版社,2025-3-1,8.7,479人评价,https://book.douban.com/subject/37254350/
更年期，不是忍忍就好,[美] 珍西·唐恩,云南人民出版社,2025-2,9.2,49人评价,https://book.douban.com/subject/37182810/
苹果不会落下,[澳]莉安·莫里亚蒂,北京联合出版公司,2025-3,9.1,24人评价,https://book.douban.com/subject/37141974/
类型故事写作大师班,[美] 约翰·特鲁比,金城出版社,2025-2,未评分,10人评价,https://book.douban.com/subject/37133358/
扔掉水晶鞋：从动画开始的性别学,(日) 若桑绿,北京联合出版公司,2025-2,8.3,86人评价,https://book.douban.com/subject/37156559/
有翼之暗,[日] 麻耶雄嵩,新星出版社,2025-2,8.4,198人评价,https://book.douban.com/subject/37081684/
多余的我,[法]罗曼·莫内里,中信出版集团,2025-3,7.0,31人评价,https://book.douban.com/subject/37134786/
善与恶的发明：一部人类道德简史,[德] 汉诺·绍尔,中信出版社,2025-2,8.5,26人评价,https://book.douban.com/subject/37121906/
艺术的告白：培根谈话录,[英] 弗朗西斯·培根,商务印书馆,2025-3-15,8.5,13人评价,https://book.douban.com/subject/37068777/
战争与财政：财政视角下的地缘政治与国家兴衰,徐一睿,浙江人民出版社,2025-2,未评分,11人评价,https://book.douban.com/subject/37238833/
繁花将逝,[日] 伽古屋圭市,新星出版社,2025-2,7.3,73人评价,https://book.douban.com/subject/37168240/
雀鸟与群狼的对决：扭转战局的兵棋游戏,【英国】西蒙·帕金,译林出版社,2025-2,未评分,14人评价,https://book.douban.com/subject/37161664/
