岗位,薪资,岗位要求,工作地址
数据分析师,15k-30k,、有数据分析/挖掘经验，有互联网行业分析经验优先；、硕士学历，数学、统计、计算机专业优先；、参加过完整的数据分析项目，能够独立开展研究项目和撰写分析报告；较强的数学、统计和计算机知识，熟悉特征工程，回归分析、概率分布等统计知识；4、熟悉SQL，熟练掌握python，加分项熟悉flask框架、docker、git，Go语言；5、具备良好的沟通能力，能够进行跨团队的沟通协调。,  深圳 - 南山区 - 科技园 - 科兴科学园A4栋1201                 
资深数据分析师,20k-40k,"
1、3年以上数据分析经验，可以适应互联网行业快速敏捷的工作节奏；
2、很强的好奇心、钻研精神、数据敏感性及逻辑思维能力；
3、熟悉Hive SQL，熟悉Python/R等分析工具，有较强的快速学习能力并能指导团队；
4、对统计学有较深的理解，有增长、AB 实验、数据建模经验者优先；
5、有互联网公司数据分析，商业分析，策略经理等经验者优先；
6、有团队管理经验者优先。",  北京 - 海淀区 - 中关村南四街18号紫金数码园四号楼                 
资深数据分析师,15k-30k,"
1、好奇心强，求知欲强，有钻研探索精神，对数据分析有强烈兴趣者优先；
2、有过成功业务优化经验者优先；
3、有互联网公司数据分析，产品经理，运营经理，策略经理等多方面经验者优先；
4、创新能力强，面对业务上各种新问题，能创造性的发明新的分析优化方案者优先；
5、性格严谨细致认真。",  北京 - 海淀区 - 北三环西路43号中航广场1号楼（矮楼）                 
资深数据分析师,20k-40k,"1、很强的商业洞察能力，数字敏感性与逻辑思维能力；
2、对统计学、运筹学、机器学习等各种定量方法有较深入理解，能以合适的分析框架解决各种复杂问题，包括策略设计、数学建模；
3、熟练使用HQL，Python，R等分析工具和办公软件，快速学习能力强；
4、有音乐类视频类项目经验优先。",  北京 - 海淀区 - 上地 - 上地西路6号                 
高级数据分析师,8k-16k,"1、本科以上学历，计算机、统计学、数学等相关专业优先；三年以上数据相关工作经验，有一线互联网公司数据分析经验者优先；
2、精通python、excel和ppt，熟练使用SQL，熟悉主流数据库；
3、有较强的抗压能力、沟通能力和团队合作精神，有一年以上的管理经验者优先。",  武汉 - 洪山区 - 关山 - 湖北省武汉市洪山区关山大道473号光谷新发展国际中心-B座                 
高级数据分析师,20k-25k,"1、熟练运用数据分析相关的工具和方法，如SQL、python、tableau、SPSS、R等；熟练应用聚类、因果、相关等统计方法
2、拥有敏锐的洞察、分析能力；有严谨治学的研究态度；良好的沟通能力、表达能力、时间管理能力
3、在业务分析能力上有专长者优先，如能独立承担复杂数据挖掘、商业分析等",  北京 - 朝阳区 - 望京 - 绿地中心                 
高级/资深数据分析师,20k-40k,"
1、本科及以上学历，数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；2、有3年以上互联网行业数据分析、数据平台建设工作经验，文娱内容公司数据分析经验或大型互联网数据建模分析经验者优先；3、有过数据治理、数据平台建设经验，能从业务数据出发，挖掘数据业务细节和数据之间的联系；4、熟练SQL/SAS/SPSS分析工具",  深圳 - 南山区 - 松日鼎盛大厦                 
资深数据分析师,18k-36k,"
1、本科及以上学历，数学、统计学、物理、市场营销、经济学、广告学等专业更优，熟练R语言，SQL语句；2、Excel，PowerBI等进行数据可视化；3、有较强的逻辑思维能力、数据洞察力、总结提炼、沟通协调、团队合作能力；",  北京 - 朝阳区 - 双井 - 东三环中路20号乐成中心A座9层                 
资深数据分析师,20k-35k,-统计学、数学、经济学等相关专业优先；-3年以上分析经验，对数据敏感，熟悉常用数据分析方法；-良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立完成数据分析项目；-具备较好的沟通能力和团队合作精神。,  北京 - 海淀区 - 百度大厦                 
高级数据分析师,18k-36k,"
1. 有良好的统计知识，具备电商、在线教育、金融行业从业经验;
2. 擅长SQL，了解索引机制，有SQL优化能力；
3. 至少会一门脚本语言例如Python等；
4. 有多种数据库经验(关系型、非关系型，比如mysql、mongoDB)、大数据经验(adb、es、tidb等)

加分项
-参与过大型项目或系统建设的经验
-具备流量分析系统、管理决策系统、经营分析系统建设经验者；


【Why Join us

1、我们选了一个不错的赛道
教育是最抗经济周期的行业。2019年已经过去，诸多曾经的明星创业公司跌落“神坛”，资本寒冬悄悄来临，然而在线教育仍是今年创投圈的热门话题和风口。【叮咚课堂运用创新的产品模式和科技手段，把昂贵的在线直播课堂变成平价课堂，通过互联网AI技术，让平民家庭的小朋友也可以随时随地低成本和北美外教老师互动学英语。

2、我们有一群教育业内领先的创投人支持
我们在2018年3月起步半年时间，迄今已获险峰长青、创世伙伴、襄禾资本三家知名VC的大力支持，短短两年时间已有4家一线基金投资和跟投。

3、我们的文化一个务实的团队
团队核心成员均来自腾讯阿里等一线知名互联网及教育机构，创始人有丰富的教育+互联网项目实战经验，我们的产品、技术、学术、运营未来一年还在招兵买马，无论你是单兵作战能力强还是组队能力强，我们虚位以待。

4、我们愿为你提供丰厚的回报
不低于该岗位的市场薪资报酬
入职即购买社保五险一金、每年都有团建旅游、优美的办公环境
地处南山高新园地铁站，交通便利好打车
灵活调薪，如果你是快速成长型选手，我们的薪资涨幅也会快速跟上你的成长速度",  深圳 - 南山区 - 大冲 - 迈科龙大厦19楼                 
