门店编号,下单时间,商品类别,商品名称,数量,小计金额,支付方式,就餐方式
8,2023/10/7 8:40,饮品,豆浆,3,7.5,微信支付,外卖配送
13,2023/11/8 10:07,烧卖,咸蛋黄烧卖,2,5,微信支付,外卖配送
13,2023/11/8 10:07,鲜包,奶黄包,3,6,微信支付,外卖配送
13,2023/11/8 10:07,粥,南瓜粥,1,3,微信支付,外卖配送
12,2023/10/25 10:06,饮品,红枣豆浆,3,9,支付宝支付,外卖配送
12,2023/10/25 10:06,粗粮&小食,茶叶蛋,3,6,支付宝支付,外卖配送
10,2023/10/23 7:58,饮品,无糖豆浆,3,9,云闪付,外卖配送
5,2023/10/27 10:33,粗粮&小食,红糖馒头,2,3,云闪付,打包带走
5,2023/10/27 10:33,鲜包,香菇菜包,2,4,云闪付,打包带走
15,2023/10/5 6:25,粗粮&小食,茶叶蛋,2,4,微信支付,外卖配送
12,2023/10/12 11:47,粗粮&小食,粗粮馒头,2,4,支付宝支付,打包带走
12,2023/10/12 11:47,粥,小米粥,1,3,支付宝支付,打包带走
6,2023/11/25 7:33,饮品,红枣豆浆,1,3,云闪付,外卖配送
6,2023/11/25 7:33,饮品,豆浆,3,7.5,云闪付,外卖配送
3,2023/10/18 6:05,粥,南瓜粥,2,6,云闪付,打包带走
3,2023/10/18 6:05,饮品,红枣豆浆,2,6,云闪付,打包带走
15,2023/10/19 11:18,粥,小米粥,3,9,微信支付,外卖配送
15,2023/10/19 11:18,粗粮&小食,水煮蛋,3,4.5,微信支付,外卖配送
15,2023/10/19 11:18,粥,南瓜粥,1,3,微信支付,外卖配送
15,2023/10/8 8:38,烧卖,咸蛋黄烧卖,2,5,支付宝支付,打包带走
15,2023/10/8 8:38,烧卖,糯米烧卖,3,4.5,支付宝支付,打包带走
9,2023/10/12 9:17,粥,银耳羹,1,3,微信支付,打包带走
5,2023/10/8 10:29,粗粮&小食,水煮蛋,3,4.5,云闪付,打包带走
7,2023/11/8 10:50,粥,黑米粥,2,6,支付宝支付,外卖配送
7,2023/11/8 10:50,粥,小米粥,1,3,支付宝支付,外卖配送
7,2023/11/8 10:50,烧卖,糯米烧卖,1,1.5,支付宝支付,外卖配送
5,2023/10/31 9:54,烧卖,鲜肉烧卖,3,6,支付宝支付,外卖配送
5,2023/10/31 9:54,烧卖,鲜肉烧卖,1,2,支付宝支付,外卖配送
14,2023/10/8 8:29,粥,南瓜粥,2,6,支付宝支付,外卖配送
1,2023/11/13 6:11,鲜包,香辣粉丝包,1,2,支付宝支付,外卖配送
13,2023/10/6 8:06,烧卖,鲜肉烧卖,2,4,云闪付,打包带走
13,2023/10/6 8:06,烧卖,鲜肉烧卖,2,4,云闪付,打包带走
13,2023/10/6 8:06,饮品,豆浆,2,5,云闪付,打包带走
7,2023/10/28 9:41,粥,玉米汁,3,9,微信支付,外卖配送
7,2023/10/28 9:41,粗粮&小食,粗粮馒头,1,2,微信支付,外卖配送
3,2023/10/8 6:11,粗粮&小食,葱油饼,1,2.5,微信支付,外卖配送
3,2023/10/8 6:11,粗粮&小食,葱油饼,1,2.5,微信支付,外卖配送
4,2023/10/30 8:31,烧卖,鲜肉烧卖,2,4,云闪付,打包带走
4,2023/10/30 8:31,饮品,无糖豆浆,1,3,云闪付,打包带走
1,2023/10/8 9:28,粗粮&小食,水煮蛋,3,4.5,支付宝支付,打包带走
1,2023/10/8 9:28,粗粮&小食,红糖馒头,1,1.5,支付宝支付,打包带走
3,2023/11/13 9:36,粥,银耳羹,1,3,支付宝支付,外卖配送
1,2023/10/19 11:38,烧卖,糯米烧卖,2,3,云闪付,外卖配送
1,2023/10/19 11:38,粥,小米粥,2,6,云闪付,外卖配送
1,2023/10/19 11:38,粥,小米粥,3,9,云闪付,外卖配送
14,2023/10/14 8:04,粗粮&小食,葱油饼,3,7.5,支付宝支付,外卖配送
3,2023/10/29 6:48,鲜包,香辣粉丝包,2,4,支付宝支付,外卖配送
3,2023/10/29 6:48,烧卖,糯米烧卖,1,1.5,支付宝支付,外卖配送
6,2023/11/13 9:39,粗粮&小食,葱油饼,2,5,支付宝支付,外卖配送
6,2023/11/13 9:39,粗粮&小食,葱油饼,2,5,支付宝支付,外卖配送
6,2023/11/13 9:39,饮品,红枣豆浆,3,9,支付宝支付,外卖配送
14,2023/11/12 10:21,粥,玉米汁,2,6,支付宝支付,外卖配送
12,2023/11/28 8:31,饮品,红枣豆浆,2,6,微信支付,打包带走
12,2023/11/28 8:31,粥,银耳羹,1,3,微信支付,打包带走
1,2023/11/24 8:19,饮品,豆浆,2,5,微信支付,打包带走
1,2023/11/24 8:19,鲜包,梅干菜肉包,3,6,微信支付,打包带走
10,2023/10/8 11:15,鲜包,奶黄包,2,4,支付宝支付,外卖配送
10,2023/10/8 11:15,烧卖,鲜肉烧卖,1,2,支付宝支付,外卖配送
10,2023/10/8 11:15,粥,南瓜粥,1,3,支付宝支付,外卖配送
5,2023/11/26 9:37,鲜包,奶黄包,1,2,微信支付,打包带走
5,2023/11/26 9:37,烧卖,糯米烧卖,3,4.5,微信支付,打包带走
5,2023/11/26 9:37,粥,黑米粥,3,9,微信支付,打包带走
10,2023/11/17 9:09,粥,南瓜粥,2,6,微信支付,外卖配送
10,2023/11/17 9:09,粗粮&小食,水煮蛋,2,3,微信支付,外卖配送
10,2023/11/17 9:09,鲜包,奶黄包,2,4,微信支付,外卖配送
6,2023/11/25 11:00,粗粮&小食,红糖馒头,2,3,支付宝支付,打包带走
6,2023/11/25 11:00,饮品,无糖豆浆,3,9,支付宝支付,打包带走
15,2023/11/6 9:28,鲜包,奶黄包,3,6,微信支付,外卖配送
1,2023/11/12 11:39,鲜包,香菇菜包,2,4,支付宝支付,打包带走
7,2023/11/4 10:16,粗粮&小食,水煮蛋,1,1.5,微信支付,外卖配送
10,2023/10/23 6:29,粗粮&小食,茶叶蛋,1,2,支付宝支付,外卖配送
10,2023/10/23 6:29,烧卖,咸蛋黄烧卖,2,5,支付宝支付,外卖配送
10,2023/10/23 6:29,鲜包,荠菜素包,2,3,支付宝支付,外卖配送
12,2023/11/5 6:09,饮品,无糖豆浆,3,9,微信支付,外卖配送
10,2023/10/2 9:59,粗粮&小食,粗粮馒头,1,2,微信支付,打包带走
6,2023/11/4 10:15,粗粮&小食,葱油饼,1,2.5,云闪付,打包带走
6,2023/11/27 11:23,鲜包,荠菜素包,1,1.5,云闪付,打包带走
2,2023/10/8 6:45,饮品,豆浆,2,5,云闪付,打包带走
2,2023/10/8 6:45,烧卖,糯米烧卖,1,1.5,云闪付,打包带走
13,2023/10/2 8:00,饮品,豆浆,3,7.5,微信支付,外卖配送
7,2023/11/14 9:52,鲜包,梅干菜肉包,2,4,微信支付,打包带走
7,2023/11/14 9:52,粗粮&小食,红糖馒头,3,4.5,微信支付,打包带走
1,2023/11/2 8:17,粗粮&小食,粗粮馒头,1,2,微信支付,打包带走
1,2023/11/2 8:17,粗粮&小食,茶叶蛋,3,6,微信支付,打包带走
1,2023/11/2 8:17,粥,玉米汁,1,3,微信支付,打包带走
2,2023/11/28 7:11,鲜包,香辣粉丝包,3,6,支付宝支付,打包带走
2,2023/11/28 7:11,烧卖,咸蛋黄烧卖,1,2.5,支付宝支付,打包带走
2,2023/11/28 7:11,鲜包,奥尔良鸡肉包,1,2,支付宝支付,打包带走
3,2023/11/26 10:47,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
3,2023/11/26 10:47,粥,小米粥,3,9,微信支付,外卖配送
3,2023/11/26 10:47,鲜包,奥尔良鸡肉包,2,4,微信支付,外卖配送
14,2023/10/2 6:20,鲜包,鲜汁肉包,2,5,云闪付,外卖配送
14,2023/10/2 6:20,粥,黑米粥,2,6,云闪付,外卖配送
14,2023/10/2 6:20,粗粮&小食,水煮蛋,2,3,云闪付,外卖配送
1,2023/10/2 6:06,粥,黑米粥,2,6,支付宝支付,外卖配送
1,2023/10/2 6:06,粥,南瓜粥,2,6,支付宝支付,外卖配送
11,2023/10/12 11:54,饮品,红枣豆浆,1,3,云闪付,外卖配送
6,2023/10/1 9:44,鲜包,香菇菜包,1,2,支付宝支付,外卖配送
6,2023/10/1 9:44,粥,南瓜粥,2,6,支付宝支付,外卖配送
6,2023/10/1 9:44,鲜包,豆沙包,2,4,支付宝支付,外卖配送
11,2023/11/3 9:29,饮品,豆浆,3,7.5,支付宝支付,打包带走
12,2023/10/3 9:32,烧卖,鲜肉烧卖,2,4,微信支付,打包带走
12,2023/10/3 9:32,烧卖,鲜肉烧卖,3,6,微信支付,打包带走
12,2023/10/3 9:32,粗粮&小食,葱油饼,2,5,微信支付,打包带走
4,2023/10/10 8:58,粗粮&小食,红糖馒头,2,3,云闪付,外卖配送
15,2023/10/23 6:19,鲜包,香菇菜包,2,4,支付宝支付,打包带走
6,2023/11/21 8:15,鲜包,香辣粉丝包,3,6,支付宝支付,外卖配送
8,2023/10/24 7:56,粥,银耳羹,3,9,云闪付,打包带走
8,2023/10/24 7:56,鲜包,奥尔良鸡肉包,2,4,云闪付,打包带走
8,2023/10/24 7:56,粗粮&小食,水煮蛋,1,1.5,云闪付,打包带走
6,2023/11/2 11:20,烧卖,糯米烧卖,2,3,微信支付,打包带走
6,2023/11/2 11:20,饮品,无糖豆浆,3,9,微信支付,打包带走
13,2023/10/1 9:00,饮品,豆浆,2,5,云闪付,外卖配送
13,2023/10/1 9:00,饮品,无糖豆浆,2,6,云闪付,外卖配送
13,2023/10/1 9:00,粥,南瓜粥,2,6,云闪付,外卖配送
9,2023/10/20 11:47,粥,银耳羹,3,9,云闪付,外卖配送
10,2023/11/29 8:15,鲜包,香辣粉丝包,1,2,微信支付,打包带走
10,2023/11/29 8:15,饮品,红枣豆浆,2,6,微信支付,打包带走
13,2023/10/4 11:27,烧卖,糯米烧卖,2,3,支付宝支付,打包带走
14,2023/10/10 10:26,鲜包,豆沙包,1,2,云闪付,打包带走
14,2023/10/1 7:45,烧卖,鲜肉烧卖,1,2,微信支付,打包带走
14,2023/10/1 7:45,粥,南瓜粥,2,6,微信支付,打包带走
4,2023/11/10 6:13,粗粮&小食,红糖馒头,2,3,支付宝支付,外卖配送
15,2023/11/3 9:21,烧卖,咸蛋黄烧卖,3,7.5,云闪付,打包带走
15,2023/11/3 9:21,饮品,豆浆,3,7.5,云闪付,打包带走
7,2023/10/21 10:51,饮品,豆浆,3,7.5,支付宝支付,打包带走
7,2023/10/21 10:51,鲜包,荠菜肉包,1,2,支付宝支付,打包带走
7,2023/10/21 10:51,鲜包,奶黄包,1,2,支付宝支付,打包带走
12,2023/11/6 10:37,饮品,豆浆,2,5,云闪付,打包带走
4,2023/10/3 9:52,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
4,2023/10/3 9:52,粗粮&小食,茶叶蛋,1,2,微信支付,外卖配送
3,2023/11/17 10:06,饮品,无糖豆浆,2,6,云闪付,打包带走
3,2023/11/17 10:06,鲜包,鲜汁肉包,2,5,云闪付,打包带走
3,2023/11/17 10:06,烧卖,咸蛋黄烧卖,3,7.5,云闪付,打包带走
10,2023/10/29 10:02,鲜包,香辣粉丝包,3,6,微信支付,外卖配送
10,2023/10/29 10:02,粥,小米粥,2,6,微信支付,外卖配送
10,2023/10/29 10:02,粥,小米粥,3,9,微信支付,外卖配送
2,2023/11/19 7:43,粥,小米粥,1,3,支付宝支付,外卖配送
2,2023/11/19 7:43,粗粮&小食,粗粮馒头,2,4,支付宝支付,外卖配送
2,2023/11/19 7:43,饮品,红枣豆浆,3,9,支付宝支付,外卖配送
11,2023/11/8 6:56,饮品,红枣豆浆,1,3,云闪付,打包带走
1,2023/10/3 10:47,烧卖,鲜肉烧卖,1,2,支付宝支付,打包带走
1,2023/10/3 10:47,烧卖,咸蛋黄烧卖,1,2.5,支付宝支付,打包带走
1,2023/10/3 10:47,粥,黑米粥,2,6,支付宝支付,打包带走
1,2023/11/3 10:36,粥,小米粥,3,9,微信支付,外卖配送
1,2023/11/3 10:36,粥,黑米粥,2,6,微信支付,外卖配送
9,2023/10/16 6:22,粗粮&小食,葱油饼,2,5,微信支付,外卖配送
14,2023/11/3 8:09,粥,黑米粥,3,9,支付宝支付,打包带走
14,2023/11/3 8:09,烧卖,糯米烧卖,1,1.5,支付宝支付,打包带走
14,2023/11/3 8:09,烧卖,咸蛋黄烧卖,3,7.5,支付宝支付,打包带走
